Date,Open,High,Low,Close,Adj Close,Volume
2010-06-01,3.800000,6.084000,3.508000,4.766000,4.766000,179767000
2010-07-01,5.000000,5.184000,2.996000,3.988000,3.988000,322879000
2010-08-01,4.100000,4.436000,3.478000,3.896000,3.896000,75191000
2010-09-01,3.924000,4.632000,3.900000,4.082000,4.082000,90229500
2010-10-01,4.138000,4.374000,4.000000,4.368000,4.368000,32739000
2010-11-01,4.388000,7.200000,4.210000,7.066000,7.066000,141575500
2010-12-01,7.174000,7.284000,5.000000,5.326000,5.326000,184464500
2011-01-01,5.368000,5.742000,4.474000,4.820000,4.820000,142100500
2011-02-01,4.862000,5.098000,4.222000,4.778000,4.778000,146517500
2011-03-01,4.810000,5.742000,4.354000,5.550000,5.550000,162816500
2011-04-01,5.490000,5.636000,4.840000,5.520000,5.520000,149474500
2011-05-01,5.520000,6.056000,5.104000,6.028000,6.028000,151744000
2011-06-01,6.000000,6.300000,5.100000,5.826000,5.826000,198636500
2011-07-01,5.814000,6.088000,5.326000,5.634000,5.634000,105510500
2011-08-01,5.734000,5.840000,4.300000,4.948000,4.948000,136078500
2011-09-01,4.932000,5.398000,4.458000,4.878000,4.878000,90107500
2011-10-01,4.990000,6.000000,4.586000,5.874000,5.874000,108313000
2011-11-01,5.678000,7.000000,5.600000,6.548000,6.548000,129234000
2011-12-01,6.514000,7.000000,5.206000,5.712000,5.712000,105642500
2012-01-01,5.788000,6.000000,4.528000,5.814000,5.814000,128049500
2012-02-01,5.814000,6.994000,5.800000,6.682000,6.682000,115968000
2012-03-01,6.702000,7.990000,6.524000,7.448000,7.448000,110817500
2012-04-01,7.466000,7.694000,6.200000,6.626000,6.626000,113764500
2012-05-01,6.626000,6.936000,5.366000,5.900000,5.900000,170926500
2012-06-01,5.706000,6.900000,5.422000,6.258000,6.258000,130635500
2012-07-01,6.270000,7.200000,5.442000,5.484000,5.484000,162717000
2012-08-01,5.598000,6.260000,5.104000,5.704000,5.704000,122410500
2012-09-01,5.704000,6.556000,5.460000,5.856000,5.856000,166475500
2012-10-01,5.900000,6.020000,5.372000,5.626000,5.626000,88104500
2012-11-01,5.650000,6.858000,5.640000,6.764000,6.764000,118804500
2012-12-01,6.778000,7.160000,6.550000,6.774000,6.774000,108571500
2013-01-01,7.000000,7.742000,6.422000,7.502000,7.502000,142323000
2013-02-01,7.634000,8.000000,6.760000,6.966000,6.966000,221280000
2013-03-01,7.000000,7.898000,6.850000,7.578000,7.578000,148275000
2013-04-01,8.472000,11.636000,8.042000,10.798000,10.798000,407740500
2013-05-01,11.198000,22.980000,10.600000,19.552000,19.552000,1656104500
2013-06-01,19.524000,22.049999,17.650000,21.472000,21.472000,895573500
2013-07-01,21.872000,27.497999,20.900000,26.856001,26.856001,1147641000
2013-08-01,27.000000,34.599998,26.472000,33.799999,33.799999,1296333000
2013-09-01,34.680000,38.900002,31.702000,38.674000,38.674000,856053000
2013-10-01,38.792000,38.846001,30.600000,31.988001,31.988001,1292274000
2013-11-01,32.599998,36.285999,23.219999,25.455999,25.455999,1541942500
2013-12-01,25.270000,31.600000,24.785999,30.086000,30.086000,988189500
2014-01-01,29.959999,37.200001,27.334000,36.282001,36.282001,919661500
2014-02-01,36.577999,53.000000,33.872002,48.962002,48.962002,1129770500
2014-03-01,47.452000,52.000000,40.599998,41.689999,41.689999,833428000
2014-04-01,41.804001,47.146000,36.863998,41.577999,41.577999,826039000
2014-05-01,41.416000,43.731998,35.444000,41.554001,41.554001,674050500
2014-06-01,41.466000,48.897999,39.849998,48.012001,48.012001,616813500
2014-07-01,48.492001,48.688000,42.720001,44.660000,44.660000,539763500
2014-08-01,45.217999,54.400002,45.200001,53.939999,53.939999,574236000
2014-09-01,55.099998,58.284000,48.023998,48.535999,48.535999,664241500
2014-10-01,48.439999,53.108002,43.464001,48.340000,48.340000,760262500
2014-11-01,48.599998,51.998001,45.700001,48.903999,48.903999,538609000
2014-12-01,48.231998,48.493999,38.529999,44.481998,44.481998,634731000
2015-01-01,44.574001,44.650002,37.000000,40.720001,40.720001,451025500
2015-02-01,40.793999,45.096001,38.655998,40.667999,40.667999,533587500
2015-03-01,40.540001,41.237999,36.279999,37.754002,37.754002,614950500
2015-04-01,37.740002,47.750000,37.209999,45.209999,45.209999,494725500
2015-05-01,45.987999,50.574001,44.049999,50.160000,50.160000,445639000
2015-06-01,50.282001,54.282001,49.136002,53.652000,53.652000,327365500
2015-07-01,54.222000,57.330002,50.158001,53.230000,53.230000,400305000
2015-08-01,53.257999,54.200001,39.000000,49.812000,49.812000,576320500
2015-09-01,48.068001,54.313999,47.394001,49.680000,49.680000,401440500
2015-10-01,49.501999,49.967999,40.400002,41.386002,41.386002,504060000
2015-11-01,41.784000,46.916000,41.160000,46.051998,46.051998,392442000
2015-12-01,46.212002,48.726002,42.973999,48.001999,48.001999,299227500
2016-01-01,46.144001,46.276001,36.481998,38.240002,38.240002,396236000
2016-02-01,37.751999,39.903999,28.209999,38.386002,38.386002,668529000
2016-03-01,38.849998,47.976002,36.299999,45.953999,45.953999,514610000
2016-04-01,48.966000,53.868000,46.650002,48.152000,48.152000,677536500
2016-05-01,48.299999,48.638000,40.731998,44.646000,44.646000,516537500
2016-06-01,44.296001,48.169998,37.574001,42.456001,42.456001,608364000
2016-07-01,41.228001,47.056000,41.200001,46.958000,46.958000,370319500
2016-08-01,47.099998,47.326000,41.730000,42.402000,42.402000,311455500
2016-09-01,41.801998,42.220001,38.689999,40.806000,40.806000,353159500
2016-10-01,42.459999,43.133999,38.400002,39.546001,39.546001,460664000
2016-11-01,39.608002,39.869999,35.638000,37.880001,37.880001,494430000
2016-12-01,37.650002,44.759998,36.000000,42.737999,42.737999,439967000
2017-01-01,42.972000,51.692001,42.192001,50.386002,50.386002,503398000
2017-02-01,50.610001,57.478001,48.402000,49.998001,49.998001,597700000
2017-03-01,50.835999,56.400002,48.556000,55.660000,55.660000,535176500
2017-04-01,57.380001,62.959999,56.916000,62.813999,62.813999,584753000
2017-05-01,62.976002,68.578003,58.152000,68.202003,68.202003,740231500
2017-06-01,68.800003,77.398003,66.842003,72.321999,72.321999,929755500
2017-07-01,74.047997,74.269997,60.625999,64.694000,64.694000,908200000
2017-08-01,64.599998,74.000000,62.243999,71.180000,71.180000,684708000
2017-09-01,71.223999,77.921997,67.080002,68.220001,68.220001,557563500
2017-10-01,68.503998,72.599998,63.332001,66.306000,66.306000,615183500
2017-11-01,66.449997,66.522003,58.526001,61.770000,61.770000,744064000
2017-12-01,61.088001,69.487999,60.000000,62.270000,62.270000,549423500
2018-01-01,62.400002,72.099998,61.136002,70.862000,70.862000,621357500
2018-02-01,70.199997,71.998001,58.952000,68.612000,68.612000,545950000
2018-03-01,69.001999,69.734001,49.641998,53.226002,53.226002,786342500
2018-04-01,51.251999,61.900002,48.917999,58.779999,58.779999,951554000
2018-05-01,58.702000,62.598000,54.683998,56.945999,56.945999,777890500
2018-06-01,57.172001,74.746002,56.768002,68.589996,68.589996,1067125500
2018-07-01,72.014000,72.956001,57.226002,59.627998,59.627998,861641000
2018-08-01,59.598000,77.491997,57.639999,60.332001,60.332001,1386801000
2018-09-01,59.388000,62.992001,50.450001,52.953999,52.953999,980377000
2018-10-01,61.153999,69.431999,49.554001,67.463997,67.463997,1431803500
2018-11-01,67.652000,73.349998,65.000000,70.096001,70.096001,665095500
2018-12-01,72.000000,358.489990,58.818001,66.559998,66.559998,732256000
2019-01-01,61.220001,70.400002,55.855999,61.403999,61.403999,878260500
2019-02-01,61.084000,64.848000,57.754002,63.976002,63.976002,642750500
2019-03-01,61.388000,61.425999,50.891998,55.972000,55.972000,1068967500
2019-04-01,56.523998,59.234001,46.226002,47.737999,47.737999,1153736500
2019-05-01,47.770000,51.669998,36.820000,37.032001,37.032001,1412994000
2019-06-01,37.102001,46.948002,35.397999,44.692001,44.692001,1074853000
2019-07-01,46.042000,53.214001,44.444000,48.321999,48.321999,996683500
2019-08-01,48.529999,48.902000,42.200001,45.122002,45.122002,668953000
2019-09-01,44.816002,50.700001,43.672001,48.174000,48.174000,678876500
2019-10-01,48.299999,68.167999,44.855999,62.984001,62.984001,1139913000
2019-11-01,63.264000,72.239998,61.852001,65.987999,65.987999,788854000
2019-12-01,65.879997,87.061996,65.449997,83.666000,83.666000,1035400000
2020-01-01,84.900002,130.600006,84.342003,130.113998,130.113998,2036092500
2020-02-01,134.738007,193.798004,122.304001,133.598007,133.598007,2365483000
2020-03-01,142.251999,161.395996,70.101997,104.800003,104.800003,2104675000
2020-04-01,100.800003,173.964005,89.279999,156.376007,156.376007,1907812000
2020-05-01,151.000000,168.658005,136.608002,167.000000,167.000000,1364137500
2020-06-01,171.600006,217.537994,170.820007,215.962006,215.962006,1278863500
2020-07-01,216.600006,358.997986,216.100006,286.152008,286.152008,1893612000
2020-08-01,289.839996,500.140015,273.000000,498.320007,498.320007,1557876400
2020-09-01,502.140015,502.489990,329.880005,429.010010,429.010010,1736563100
2020-10-01,440.760010,448.880005,415.000000,415.089996,415.089996,121797100
